[TRAIN] epoch: 1, iteration: 1 (mini-batch) loss: 2.41066, curr_loss: 2.41066, acc: 0.10000 
[TRAIN] epoch: 2, iteration: 1 (mini-batch) loss: 2.32288, curr_loss: 2.32288, acc: 0.20000 
[TRAIN] epoch: 3, iteration: 1 (mini-batch) loss: 2.12045, curr_loss: 2.12045, acc: 0.30000 
[TRAIN] epoch: 4, iteration: 1 (mini-batch) loss: 1.97445, curr_loss: 1.97445, acc: 0.50000 
[TRAIN] epoch: 5, iteration: 1 (mini-batch) loss: 1.88933, curr_loss: 1.88933, acc: 0.40000 
[TRAIN] epoch: 6, iteration: 1 (mini-batch) loss: 1.77277, curr_loss: 1.77277, acc: 0.50000 
[TRAIN] epoch: 7, iteration: 1 (mini-batch) loss: 1.69406, curr_loss: 1.69406, acc: 0.50000 
[TRAIN] epoch: 8, iteration: 1 (mini-batch) loss: 1.56275, curr_loss: 1.56275, acc: 0.50000 
[TRAIN] epoch: 9, iteration: 1 (mini-batch) loss: 1.46921, curr_loss: 1.46921, acc: 0.50000 
[TRAIN] epoch: 10, iteration: 1 (mini-batch) loss: 1.40084, curr_loss: 1.40084, acc: 0.60000 
[TRAIN] epoch: 11, iteration: 1 (mini-batch) loss: 1.32618, curr_loss: 1.32618, acc: 0.70000 
[TRAIN] epoch: 12, iteration: 1 (mini-batch) loss: 1.25698, curr_loss: 1.25698, acc: 0.70000 
[TRAIN] epoch: 13, iteration: 1 (mini-batch) loss: 1.19275, curr_loss: 1.19275, acc: 0.70000 
[TRAIN] epoch: 14, iteration: 1 (mini-batch) loss: 1.14150, curr_loss: 1.14150, acc: 0.70000 
[TRAIN] epoch: 15, iteration: 1 (mini-batch) loss: 1.09657, curr_loss: 1.09657, acc: 0.70000 
[TRAIN] epoch: 16, iteration: 1 (mini-batch) loss: 1.06110, curr_loss: 1.06110, acc: 0.70000 
[TRAIN] epoch: 17, iteration: 1 (mini-batch) loss: 1.02963, curr_loss: 1.02963, acc: 0.70000 
[TRAIN] epoch: 18, iteration: 1 (mini-batch) loss: 1.00272, curr_loss: 1.00272, acc: 0.70000 
[TRAIN] epoch: 19, iteration: 1 (mini-batch) loss: 0.97387, curr_loss: 0.97387, acc: 0.70000 
[TRAIN] epoch: 20, iteration: 1 (mini-batch) loss: 0.94235, curr_loss: 0.94235, acc: 0.70000 
[TRAIN] epoch: 21, iteration: 1 (mini-batch) loss: 0.91512, curr_loss: 0.91512, acc: 0.70000 
[TRAIN] epoch: 22, iteration: 1 (mini-batch) loss: 0.88661, curr_loss: 0.88661, acc: 0.70000 
[TRAIN] epoch: 23, iteration: 1 (mini-batch) loss: 0.86521, curr_loss: 0.86521, acc: 0.70000 
[TRAIN] epoch: 24, iteration: 1 (mini-batch) loss: 0.84841, curr_loss: 0.84841, acc: 0.70000 
[TRAIN] epoch: 25, iteration: 1 (mini-batch) loss: 0.83527, curr_loss: 0.83527, acc: 0.70000 
[TRAIN] epoch: 26, iteration: 1 (mini-batch) loss: 0.82299, curr_loss: 0.82299, acc: 0.70000 
[TRAIN] epoch: 27, iteration: 1 (mini-batch) loss: 0.81254, curr_loss: 0.81254, acc: 0.70000 
[TRAIN] epoch: 28, iteration: 1 (mini-batch) loss: 0.80372, curr_loss: 0.80372, acc: 0.70000 
[TRAIN] epoch: 29, iteration: 1 (mini-batch) loss: 0.79259, curr_loss: 0.79259, acc: 0.70000 
[TRAIN] epoch: 30, iteration: 1 (mini-batch) loss: 0.78449, curr_loss: 0.78449, acc: 0.70000 
[TRAIN] epoch: 31, iteration: 1 (mini-batch) loss: 0.77796, curr_loss: 0.77796, acc: 0.70000 
[TRAIN] epoch: 32, iteration: 1 (mini-batch) loss: 0.77383, curr_loss: 0.77383, acc: 0.70000 
[TRAIN] epoch: 33, iteration: 1 (mini-batch) loss: 0.76875, curr_loss: 0.76875, acc: 0.70000 
[TRAIN] epoch: 34, iteration: 1 (mini-batch) loss: 0.76415, curr_loss: 0.76415, acc: 0.70000 
[TRAIN] epoch: 35, iteration: 1 (mini-batch) loss: 0.76023, curr_loss: 0.76023, acc: 0.70000 
[TRAIN] epoch: 36, iteration: 1 (mini-batch) loss: 0.75728, curr_loss: 0.75728, acc: 0.70000 
[TRAIN] epoch: 37, iteration: 1 (mini-batch) loss: 0.75571, curr_loss: 0.75571, acc: 0.70000 
[TRAIN] epoch: 38, iteration: 1 (mini-batch) loss: 0.75474, curr_loss: 0.75474, acc: 0.70000 
[TRAIN] epoch: 39, iteration: 1 (mini-batch) loss: 0.75139, curr_loss: 0.75139, acc: 0.70000 
[TRAIN] epoch: 40, iteration: 1 (mini-batch) loss: 0.75044, curr_loss: 0.75044, acc: 0.70000 
[TRAIN] epoch: 41, iteration: 1 (mini-batch) loss: 0.74778, curr_loss: 0.74778, acc: 0.70000 
[TRAIN] epoch: 42, iteration: 1 (mini-batch) loss: 0.74759, curr_loss: 0.74759, acc: 0.70000 
[TRAIN] epoch: 43, iteration: 1 (mini-batch) loss: 0.74721, curr_loss: 0.74721, acc: 0.70000 
[TRAIN] epoch: 44, iteration: 1 (mini-batch) loss: 0.74745, curr_loss: 0.74745, acc: 0.70000 
[TRAIN] epoch: 45, iteration: 1 (mini-batch) loss: 0.74548, curr_loss: 0.74548, acc: 0.70000 
[TRAIN] epoch: 46, iteration: 1 (mini-batch) loss: 0.74366, curr_loss: 0.74366, acc: 0.70000 
[TRAIN] epoch: 47, iteration: 1 (mini-batch) loss: 0.74270, curr_loss: 0.74270, acc: 0.70000 
[TRAIN] epoch: 48, iteration: 1 (mini-batch) loss: 0.74151, curr_loss: 0.74151, acc: 0.70000 
[TRAIN] epoch: 49, iteration: 1 (mini-batch) loss: 0.74049, curr_loss: 0.74049, acc: 0.70000 
[TRAIN] epoch: 50, iteration: 1 (mini-batch) loss: 0.73973, curr_loss: 0.73973, acc: 0.70000 
[TRAIN] epoch: 51, iteration: 1 (mini-batch) loss: 0.73931, curr_loss: 0.73931, acc: 0.70000 
[TRAIN] epoch: 52, iteration: 1 (mini-batch) loss: 0.73874, curr_loss: 0.73874, acc: 0.70000 
[TRAIN] epoch: 53, iteration: 1 (mini-batch) loss: 0.73811, curr_loss: 0.73811, acc: 0.70000 
[TRAIN] epoch: 54, iteration: 1 (mini-batch) loss: 0.73763, curr_loss: 0.73763, acc: 0.70000 
[TRAIN] epoch: 55, iteration: 1 (mini-batch) loss: 0.73704, curr_loss: 0.73704, acc: 0.70000 
[TRAIN] epoch: 56, iteration: 1 (mini-batch) loss: 0.73661, curr_loss: 0.73661, acc: 0.70000 
[TRAIN] epoch: 57, iteration: 1 (mini-batch) loss: 0.73628, curr_loss: 0.73628, acc: 0.70000 
[TRAIN] epoch: 58, iteration: 1 (mini-batch) loss: 0.73591, curr_loss: 0.73591, acc: 0.70000 
[TRAIN] epoch: 59, iteration: 1 (mini-batch) loss: 0.73552, curr_loss: 0.73552, acc: 0.70000 
[TRAIN] epoch: 60, iteration: 1 (mini-batch) loss: 0.73515, curr_loss: 0.73515, acc: 0.70000 
[TRAIN] epoch: 61, iteration: 1 (mini-batch) loss: 0.73477, curr_loss: 0.73477, acc: 0.70000 
[TRAIN] epoch: 62, iteration: 1 (mini-batch) loss: 0.73442, curr_loss: 0.73442, acc: 0.70000 
[TRAIN] epoch: 63, iteration: 1 (mini-batch) loss: 0.73410, curr_loss: 0.73410, acc: 0.70000 
[TRAIN] epoch: 64, iteration: 1 (mini-batch) loss: 0.73390, curr_loss: 0.73390, acc: 0.70000 
[TRAIN] epoch: 65, iteration: 1 (mini-batch) loss: 0.73361, curr_loss: 0.73361, acc: 0.70000 
[TRAIN] epoch: 66, iteration: 1 (mini-batch) loss: 0.73333, curr_loss: 0.73333, acc: 0.70000 
[TRAIN] epoch: 67, iteration: 1 (mini-batch) loss: 0.73308, curr_loss: 0.73308, acc: 0.70000 
[TRAIN] epoch: 68, iteration: 1 (mini-batch) loss: 0.73291, curr_loss: 0.73291, acc: 0.70000 
[TRAIN] epoch: 69, iteration: 1 (mini-batch) loss: 0.73268, curr_loss: 0.73268, acc: 0.70000 
[TRAIN] epoch: 70, iteration: 1 (mini-batch) loss: 0.73249, curr_loss: 0.73249, acc: 0.70000 
[TRAIN] epoch: 71, iteration: 1 (mini-batch) loss: 0.73239, curr_loss: 0.73239, acc: 0.70000 
[TRAIN] epoch: 72, iteration: 1 (mini-batch) loss: 0.73228, curr_loss: 0.73228, acc: 0.70000 
[TRAIN] epoch: 73, iteration: 1 (mini-batch) loss: 0.73207, curr_loss: 0.73207, acc: 0.70000 
[TRAIN] epoch: 74, iteration: 1 (mini-batch) loss: 0.73192, curr_loss: 0.73192, acc: 0.70000 
[TRAIN] epoch: 75, iteration: 1 (mini-batch) loss: 0.73178, curr_loss: 0.73178, acc: 0.70000 
[TRAIN] epoch: 76, iteration: 1 (mini-batch) loss: 0.73162, curr_loss: 0.73162, acc: 0.70000 
[TRAIN] epoch: 77, iteration: 1 (mini-batch) loss: 0.73148, curr_loss: 0.73148, acc: 0.70000 
[TRAIN] epoch: 78, iteration: 1 (mini-batch) loss: 0.73132, curr_loss: 0.73132, acc: 0.70000 
[TRAIN] epoch: 79, iteration: 1 (mini-batch) loss: 0.73116, curr_loss: 0.73116, acc: 0.70000 
[TRAIN] epoch: 80, iteration: 1 (mini-batch) loss: 0.73111, curr_loss: 0.73111, acc: 0.70000 
